"","","0 - 9999","10000 - 14999","15000 - 19999","20000 - 24999","25000 - 29999","30000 - 49999","50000 - 99999","100000",""
"","","","","","","","","","","TOTAL"
"","","KSh","KSh","KSh","KSh","KSh","KSh","KSh","KSh",""
"2010-","","","","","","","","","",""
"","National Goverment.. .. ..","781","60,609","57,534","23,729","17,810","36,238","11,947","3,353","212,000"
"","Other public sector..","617","47,628","148,660","76,320","26,419","86,886","18,532","2,700","407,762"
"","Private sector .. ...","16,353","30,921","112,057","213,384","299,805","349,080","326,852","48,023","1,396,474"
"","Total .. .. ...","17,751","139,158","318,251","313,434","344,034","472,203","357,330","54,075","2,016,236"
"2011-","","","","","","","","","",""
"","National Goverment.. .. ..","733","13,063","44,459","45,452","41,442","54,828","16,575","3,350","219,901"
"","Other public sector..","816","10,866","45,682","138,082","75,197","99,370","50,444","2,940","423,397"
"","Private sector .. ...","16,675","32,620","116,649","215,148","303,578","361,173","344,895","50,094","1,440,832"
"","Total .. .. ...","18,224","56,549","206,789","398,681","420,218","515,371","411,914","56,384","2,084,130"
"2012-","","","","","","","","","",""
"","National Goverment.. .. ..","778","13,914","56,714","35,039","42,267","47,566","22,248","4,075","222,600"
"","Other public sector..","847","11,280","54,830","143,346","82,419","91,396","52,367","3,052","439,539"
"","Private sector .. ...","16,835","31,866","95,360","229,337","303,339","401,475","362,151","53,250","1,493,613"
"","Total .. .. ...","18,460","57,060","206,904","407,722","428,025","540,437","436,766","60,377","2,155,752"
"2013-","","","","","","","","","",""
"","National Goverment.. .. ..","773","13,792","43,940","46,420","43,756","57,889","20,500","5,105","232,177"
"","Other public sector..","880","11,710","46,230","144,950","81,414","107,088","60,844","3,169","456,285"
"","Private sector .. ...","17,400","33,593","124,497","235,519","324,077","405,731","380,748","55,691","1,577,256"
"","Total .. .. ...","19,053","59,095","214,667","426,890","449,247","570,709","462,092","63,965","2,265,718"
"Provisional","","","","","","","","","",""
